Sample.Name	Sample.Type	Classification	TMAO_76.1_58_qual	TMAO_76.1_59.1_quant	Choline_104_58_qual	Choline_104_60_quant	Carnitine_162.1_103_quant	Carnitine_162.1_85_qual	Creatine_132.1_44_qual	Creatine_132.1_90_quant	Trigonelline_138_92_quant	Trigonelline_138_94_qual	stachydrin_144_144_qual	stachydrin_144_84_quant	Histamine_deriv_247_154_quant	Histamine_deriv_247_95_qual	Taurine_deriv_261_126_quant	Taurine_deriv_261_136_qual	Carnosine_deriv_362.2_207.03_quant	Carnosine_deriv_362.2_269.02_qual	Anserine_deriv_376.1_241.03_quant	Anserine_deriv_376.1_283.03_qual	1.Met.His_deriv_305.1_124.03_quant	1.Met.His_deriv_305.1_83.07_qual	Hippuric.acid_180.1_105_quant	Hippuric.acid_180.1_77_qual	t4.OH.Pro_deriv_267.1_132_quant	t4.OH.Pro_deriv_267.1_86_qual	3.Met.His_deriv_305.1_168.04_quant	3.Met.His_deriv_305.1_212_qual	Phenylacetylglycine..PAG._194.1_76_qual	Phenylacetylglycine..PAG._194.1_91_quant	Ethanolamine_deriv_197.1_136.02_quant	Ethanolamine_deriv_197.1_62_qual	HArg_deriv_324.1_189.03_quant	HArg_deriv_324.1_84.06_qual	ADMA_deriv_338.2_203.03_quant	ADMA_deriv_338.2_46.08_qual	SDMA_deriv_338.2_172.03_qual	SDMA_deriv_338.2_203.02_quant	Met.SO_deriv_301.2_237_quant	Met.SO_deriv_301.2_88_qual	Met_deriv_285.1_133_qual	Met_deriv_285.1_150_quant	IS_Methionine_292.1_140.1_CE25_qual	IS_Methionine_292.1_157.1_CE15_quant	Kynurenine_deriv_344.2_146.03_qual	Kynurenine_deriv_344.2_192.02_quant	Trp_deriv_340.2_146.04_qual	Trp_deriv_340.2_188.03_quant	IS_Tryptophan_348.1_151.1_CE35_qual	IS_Tryptophan_348.1_195.1_CE25_quant	Putrescine_deriv_359.1_114.04_qual	Putrescine_deriv_359.1_266.01_quant	IS_Putrescin_363.1_118.1_CE35_qual	IS_Putrescin_363.1_270.1_CE15_quant	Cadaverin_2xderiv_373.1_128.03_qual	Cadaverin_2xderiv_373.1_280.01_quant	IS_Alanine_228.1_136.1_CE30_qual	IS_Alanine_228.1_93.1_CE15_quant	IS_DL.Proline_258.1_123.1_CE18_quant	IS_DL.Proline_258.1_76_CE35_qual	IS_L.Histidine_296.1_115.1_CE30_qual	IS_L.Histidine_296.1_203.1_CE15_quant
blank = water	Blank	Block 1.1	7558	35154	219057	107022	118427	244138	3521	1.43E+05	35178	3195	752312	26643	1914	2470	958	624	2193	1444	980	804	1379	525	4937	35115	1328	1840	1429	1163	108	4931	2799	1367	1220	307	3963	1101	792	776	2089	675	994	3190	1031	1411	5685	8279	5851	27579	6183	11467	25239	84878	4313	31493	15415	55327	2159	781	2425	2131	906	2428
MeOH 2	Blank	Block 1.1	3616	20567	89658	107910	107624	179735	1839	9.99E+04	4380	65419	636480	26948	1040	2462	1358	785	6427	11515	1376	1647	583	1312	5010	34502	1680	1216	3932	1148	3432	7781	15788	3362	1625	473	486	9685	1992	937	9627	413	2682	1207	1244	8552	1984	1562	8452	5146	4364	85770	15529	58413	9833	18855	17451	67150	27477	61482	2584	1632	675	892
QC 1	QC	Block 1.1	308368	187637	884225	2003368	555045	624516	209164	5.16E+05	202390	96466	823507	104013	222921	129944	2573437	1033180	500172	546043	29662	22903	559672	116465	1574850	1107687	9856908	4293110	396071	870519	191903	321400	59908	76483	219740	110785	323373	32235	47165	203518	144682	63738	3266652	6632375	953876	1693574	29831	59940	3950671	8699122	6134767	12672230	124327	445665	5740386	19386961	114967	465224	1132904	2148606	28488551	20049858	1849635	2458848
P78	Sample	Block 1.1	81203	50568	1050339	2517118	577821	784740	128055	5.48E+05	292839	137395	889901	137959	30903	15120	5008292	1909406	905367	1132663	55546	21119	666157	140231	511851	395932	17233026	7553646	508718	1075832	390206	650205	45968	53154	561094	327977	648235	67167	94948	434309	274677	153316	6312542	12939343	1521726	2995301	48098	66145	7158384	16863758	11214570	23803112	164475	563361	9514596	30580945	75024	325854	1468240	2495067	48884140	35353030	3246385	4149192
P69	Sample	Block 1.1	567679	359391	1585201	3921080	805716	991626	217193	7.97E+05	386834	185342	1924220	273275	148656	90259	5423853	2055784	1659309	2031358	153422	112608	1314548	283336	6018959	4420322	23271853	10347192	1046424	2311082	526875	831063	322629	362383	471160	299624	1175133	121807	145151	685068	391285	206915	8806026	17187857	2092248	3994594	79126	118329	8380496	18320426	15729867	31727461	279935	967873	13693791	41095216	771709	2842484	2187283	3912827	64567873	45123288	4856864	5827057
P40	Sample	Block 1.1	235779	132487	822084	2086563	1239873	942694	295224	8.17E+05	203594	128944	1765175	237867	236864	130087	1883817	724726	931267	1005657	60901	34528	1361345	284266	2500331	1799648	17149575	7444454	761134	1920265	582165	977245	87562	86585	536795	306711	605311	62890	127520	478803	179722	85662	5146976	11246382	1648620	3131058	23703	35096	3175916	6244846	11484717	24386967	161452	520469	9606475	30924243	163030	629246	1779442	3180180	46417720	34367338	3459787	4364472
P64	Sample	Block 1.1	58356	22917	516579	1373097	650072	803061	65862	2.52E+05	203699	94762	523520	91886	224086	123399	3461978	1438822	855470	951903	67264	44143	1069726	225586	597626	421579	20985301	8848920	693882	1509372	548281	860174	57045	59215	181208	114245	803961	96499	139419	559163	290498	159895	7347964	14884356	2101861	3774952	57784	81527	7823147	16507081	13727487	28111029	164037	566062	11752235	39096003	454020	1801684	2239817	3830537	56247388	38921767	4563387	5466621
P41	Sample	Block 1.1	588918	412642	785607	1914434	1395122	982264	236047	5.61E+05	121929	73119	724995	123705	6733553	3780332	14398954	5581764	1021829	1165300	73531	33238	982082	202787	376982	283698	12561512	5302907	681156	1499921	592308	915630	166876	178003	485795	277518	461009	52803	92378	374507	271353	132418	6059034	13054627	1526959	3083758	33767	38457	4822972	10179213	11110485	21927485	355404	1118844	9787211	31709883	655626	2437035	1578054	2703098	46661791	33311054	3135170	3743076
P79	Sample	Block 1.1	352121	191910	851670	2070311	466656	684901	145004	5.93E+05	202876	101597	1078055	112603	369428	200131	8180835	3179057	1239368	1381592	55504	54058	874462	175039	643037	466149	19721239	8476846	440748	1133549	472181	703964	168438	167088	645425	375871	1113466	122277	112795	520982	343186	174326	8534589	18560058	1875585	3765784	51211	89762	7982635	18262339	13691421	28644852	234131	815922	12286537	41250120	151193	653985	1970282	3385495	56213047	40756071	4814516	6208741
P43	Sample	Block 1.1	446134	359386	675664	1768525	852294	830458	200303	4.99E+05	218509	81022	678355	79861	694422	404917	2885591	1089975	894669	956076	85559	60059	859883	174433	291833	256955	15790894	6893131	651210	1423203	372564	626251	36596	39387	285518	168457	524503	56754	93149	348110	181682	85567	4694899	9603514	1748138	3425166	49223	68662	5699922	11013702	11225913	24079089	146611	512693	10306935	33359696	274062	985011	1932134	3298272	49697772	35938250	3452845	4727866
