Sample.Name	Sample.Type	TMAO_76.1_58_qual	TMAO_76.1_59.1_quant	Choline_104_58_qual	Choline_104_60_quant	Carnitine_162.1_103_quant	Carnitine_162.1_85_qual	Creatine_132.1_44_qual	Creatine_132.1_90_quant	Trigonelline_138_92_quant	Trigonelline_138_94_qual	stachydrin_144_144_qual	stachydrin_144_84_quant	Histamine_deriv_247_154_quant	Histamine_deriv_247_95_qual	Taurine_deriv_261_126_quant	Taurine_deriv_261_136_qual	Carnosine_deriv_362.2_207.03_quant	Carnosine_deriv_362.2_269.02_qual	Anserine_deriv_376.1_241.03_quant	Anserine_deriv_376.1_283.03_qual	1.Met.His_deriv_305.1_124.03_quant	1.Met.His_deriv_305.1_83.07_qual	Hippuric.acid_180.1_105_quant	Hippuric.acid_180.1_77_qual	t4.OH.Pro_deriv_267.1_132_quant	t4.OH.Pro_deriv_267.1_86_qual	3.Met.His_deriv_305.1_168.04_quant	3.Met.His_deriv_305.1_212_qual	Phenylacetylglycine..PAG._194.1_76_qual	Phenylacetylglycine..PAG._194.1_91_quant	Ethanolamine_deriv_197.1_136.02_quant	Ethanolamine_deriv_197.1_62_qual	HArg_deriv_324.1_189.03_quant	HArg_deriv_324.1_84.06_qual	ADMA_deriv_338.2_203.03_quant	ADMA_deriv_338.2_46.08_qual	SDMA_deriv_338.2_172.03_qual	SDMA_deriv_338.2_203.02_quant	Met.SO_deriv_301.2_237_quant	Met.SO_deriv_301.2_88_qual	Met_deriv_285.1_133_qual	Met_deriv_285.1_150_quant	IS_Methionine_292.1_140.1_CE25_qual	IS_Methionine_292.1_157.1_CE15_quant	Kynurenine_deriv_344.2_146.03_qual	Kynurenine_deriv_344.2_192.02_quant	Trp_deriv_340.2_146.04_qual	Trp_deriv_340.2_188.03_quant	IS_Tryptophan_348.1_151.1_CE35_qual	IS_Tryptophan_348.1_195.1_CE25_quant	Putrescine_deriv_359.1_114.04_qual	Putrescine_deriv_359.1_266.01_quant	IS_Putrescin_363.1_118.1_CE35_qual	IS_Putrescin_363.1_270.1_CE15_quant	Cadaverin_2xderiv_373.1_128.03_qual	Cadaverin_2xderiv_373.1_280.01_quant	IS_Alanine_228.1_136.1_CE30_qual	IS_Alanine_228.1_93.1_CE15_quant	IS_DL.Proline_258.1_123.1_CE18_quant	IS_DL.Proline_258.1_76_CE35_qual	IS_L.Histidine_296.1_115.1_CE30_qual	IS_L.Histidine_296.1_203.1_CE15_quant
MeOH 1	Unknown	0.17	0.18	0.25	0.26	0.31	0.19	0.27	0.04	0.34	0.43	0.27	0.27	0.96	0.99	0.97	0.54	1.11	1.09	1.08	1.13	1.07	1.21	1.38	0.77	1.34	1.13	1.09	1.1	1.3	2.04	1.11	1.59	1.7	1.7	1.82	1.81	1.94	2.07	2.12	2.51	4.03	3.98	3.6	4.35	4.61	4.6	4.33	4.15	4.34	4.34	4.55	4.53	4.47	4.49	4.72	4.61	2.87	2.87	2.78	3.06	0.46	1.24
blank = water	Unknown	0.21	0.66	0.25	0.26	0.25	0.23	0.26	0.04	0.35	0.1	0.24	0.25	0.58	0.67	1.3	0.62	1.39	1.02	1.26	1.22	1.06	0.87	1.52	0.76	1.29	1.59	1.01	1.13	1.71	1.62	1.4	N/A	1.85	1.74	1.84	1.84	1.86	2.09	1.95	2.01	4.14	4.08	4.02	4.22	4.73	4.73	4.25	4.04	4.45	4.78	4.43	4.55	4.45	4.54	4.71	4.55	3.32	3.18	3.14	2.61	0.51	0.6
IS Mix 1	Unknown	0.15	0.19	0.23	0.26	0.23	0.19	0.27	0.04	0.26	0.27	0.27	0.27	1.28	0.95	1.14	1.12	1.1	1.09	1.09	1.14	1.13	1.38	1.55	0.88	1.28	1.58	1.1	1.08	1.52	2.04	1.59	1.6	1.68	1.88	1.8	1.84	2.09	2.1	2.08	1.7	4.04	4.19	4	4	4.62	4.4	4.08	3.96	4.38	4.38	4.49	4.52	4.49	4.49	4.63	4.59	2.86	2.86	2.77	2.77	0.94	0.94
Cal 7	Unknown	0.26	0.26	0.24	0.26	0.26	0.19	0.27	0.04	0.27	0.43	0.27	0.27	1	1.32	0.94	1.1	1.12	1.1	1.1	1.12	1.16	1.14	1.2	0.86	1.2	1.19	N/A	1.18	1.56	2.04	1.12	1.59	1.74	1.73	1.88	1.87	2.03	2.02	2.05	2.06	4.03	3.93	4.01	4.01	4.36	4.37	4.4	4.4	4.39	4.39	4.58	4.53	4.5	4.5	4.7	4.58	2.86	2.86	2.78	2.78	0.94	0.94
Cal 6	Unknown	0.26	0.26	0.25	0.26	0.26	0.2	0.26	0.04	0.26	0.26	0.27	0.27	0.99	1	0.93	1.13	1.12	1.07	1.12	1.1	1.16	1.15	1.2	1.2	1.2	1.19	1.19	1.19	1.12	1.55	1.6	1.59	1.74	1.74	1.88	1.87	2.01	2.01	2	2.03	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.61	4.61	2.86	2.86	2.78	2.78	0.94	0.94
Cal 5	Unknown	0.26	0.26	0.26	0.26	0.26	0.26	0.27	0.26	0.26	0.26	0.27	0.27	0.99	0.99	0.94	0.95	1.02	1.08	1.11	1.11	1.16	1.16	1.2	1.2	1.2	1.2	1.19	1.19	1.55	1.55	1.59	1.59	1.74	1.74	1.88	1.88	2.02	2.01	2.01	2.01	4.02	4.02	4.01	4	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.61	4.61	2.86	2.86	2.77	2.77	0.94	0.94
Cal 4	Unknown	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.27	0.27	0.98	0.98	0.93	0.93	1	1.01	1.1	1.1	1.15	1.16	1.2	1.19	1.19	1.19	1.19	1.18	1.54	1.54	1.59	1.59	1.73	1.73	1.88	1.88	2.01	2.01	2	2.01	4.02	4.02	4	4.01	4.35	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.49	4.49	4.62	4.62	2.85	2.85	2.77	2.77	0.93	0.93
Cal 3	Unknown	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.27	0.27	0.98	0.99	0.94	0.94	1	1	1.1	1.1	1.15	1.15	1.2	1.2	1.19	1.19	1.19	1.18	1.55	1.55	1.59	1.59	1.74	1.74	1.88	1.88	2.01	2.01	2.01	2	4.02	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.78	2.78	0.93	0.94
Cal 2	Unknown	0.26	0.26	0.26	0.26	0.26	0.26	0.27	0.26	0.27	0.26	0.27	0.27	0.98	0.98	0.94	0.94	1	1.01	1.11	1.1	1.15	1.15	1.2	1.2	1.2	1.19	1.19	1.19	1.55	1.55	1.59	1.59	1.74	1.74	1.88	1.88	2.01	2.01	2.01	2.01	4.02	4.02	4	4	4.35	4.35	4.4	4.4	4.38	4.38	4.49	4.5	4.49	4.49	4.61	4.61	2.85	2.85	2.77	2.77	0.93	0.94
Cal 1	Unknown	0.26	0.27	0.26	0.26	0.26	0.26	0.27	0.27	0.27	0.27	0.27	0.27	0.99	0.99	0.94	0.94	1.01	1.01	1.11	1.11	1.16	1.16	1.2	1.2	1.2	1.2	1.2	1.19	1.55	1.55	1.59	1.59	1.74	1.74	1.88	1.88	2.01	2.01	2.01	2.01	4.02	4.02	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.77	2.77	0.94	0.94
blank = water	Unknown	0.25	0.16	0.25	0.26	0.25	0.23	0.27	0.04	0.3	0.36	0.24	0.24	0.73	1.12	1.07	1.1	0.86	1.2	1.13	1.2	0.74	1.5	1.04	0.75	1.24	0.78	1.44	1.01	1.19	1.58	1.49	1.53	1.77	1.7	1.86	1.9	2.39	2.01	2.13	1.84	4.03	3.99	3.93	3.95	4.82	4.33	4.39	4.4	4.37	4.39	4.49	4.5	4.49	4.51	4.62	4.62	2.56	3.22	2.96	2.79	1.12	0.72
MeOH 2	Unknown	0.15	0.16	0.25	0.26	0.32	0.18	0.3	0.04	0.27	0.42	0.26	0.27	1.01	1.01	1.41	1.29	1.11	1.09	1.11	1.14	0.76	1.32	1.56	0.76	1.12	1.21	1.05	0.78	1.3	2.03	1.12	1.6	1.62	1.9	1.84	1.78	1.64	1.97	2.13	2.48	3.91	4.07	3.75	4.32	4.69	4.7	4.35	4.4	4.74	4.34	4.52	4.49	4.71	4.62	4.62	4.61	2.87	2.87	2.66	2.74	0.81	1.09
QC 1	Unknown	0.27	0.27	0.26	0.26	0.27	0.23	0.27	0.27	0.27	0.27	0.27	0.27	0.99	0.99	0.94	0.94	1	1.01	1.09	1.13	1.16	1.16	1.2	1.2	1.2	1.2	1.19	1.18	1.55	1.54	1.59	1.59	1.74	1.74	1.88	1.88	2.01	2.01	2.01	2	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.39	4.39	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.77	2.77	0.94	0.94
P78	Unknown	0.27	0.27	0.26	0.26	0.27	0.23	0.28	0.27	0.27	0.27	0.27	0.27	0.99	1	0.95	0.95	1.01	1.01	1.11	1.08	1.16	1.16	1.2	1.21	1.2	1.2	1.19	1.18	1.55	1.55	1.59	1.6	1.74	1.74	1.88	1.88	2.02	2.02	2.01	2.01	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.87	2.87	2.78	2.78	0.95	0.95
P69	Unknown	0.27	0.27	0.26	0.26	0.27	0.23	0.27	0.27	0.27	0.27	0.27	0.27	0.99	1	0.94	0.94	1.01	1.01	1.12	1.11	1.16	1.15	1.2	1.2	1.19	1.19	1.19	1.18	1.54	1.54	1.59	1.59	1.74	1.74	1.87	1.87	2.01	2.01	2.01	2	4.02	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.77	2.77	0.94	0.94
P40	Unknown	0.27	0.27	0.26	0.26	0.27	0.25	0.27	0.27	0.27	0.27	0.27	0.27	0.99	0.99	0.94	0.94	1.01	1.01	1.1	1.11	1.16	1.16	1.2	1.2	1.2	1.2	1.2	1.18	1.55	1.54	1.59	1.59	1.74	1.74	1.88	1.88	2.02	2.01	2.01	2	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.61	4.62	2.86	2.86	2.77	2.77	0.94	0.94
P64	Unknown	0.27	0.27	0.26	0.26	0.27	0.23	0.27	0.27	0.27	0.27	0.27	0.27	0.99	0.99	0.94	0.94	1.01	1.01	1.11	1.14	1.16	1.16	1.2	1.2	1.2	1.2	1.19	1.18	1.55	1.55	1.59	1.59	1.74	1.74	1.88	1.88	2.01	2.02	2	2.01	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.78	2.78	0.94	0.94
P41	Unknown	0.27	0.27	0.26	0.26	0.27	0.26	0.27	0.27	0.27	0.27	0.27	0.27	0.99	0.99	0.94	0.94	1.01	1.01	1.1	1.13	1.16	1.16	1.2	1.2	1.2	1.2	1.2	1.18	1.55	1.55	1.59	1.59	1.75	1.74	1.88	1.88	2.02	2.02	2.01	2.01	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.78	2.78	0.94	0.94
P79	Unknown	0.27	0.27	0.26	0.26	0.27	0.23	0.27	0.27	0.27	0.27	0.27	0.27	0.99	0.99	0.94	0.94	1.01	1.01	1.1	1.11	1.15	1.16	1.2	1.2	1.2	1.19	1.19	1.18	1.54	1.55	1.59	1.59	1.74	1.74	1.87	1.88	2.02	2.01	2.01	2.01	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.77	2.77	0.94	0.94
P43	Unknown	0.27	0.27	0.26	0.26	0.27	0.24	0.27	0.27	0.27	0.42	0.27	0.27	0.99	0.99	0.93	0.94	1	1	1.1	1.12	1.16	1.15	1.2	1.2	1.19	1.19	1.19	1.18	1.54	1.55	1.58	1.59	1.74	1.74	1.88	1.88	2.01	2.01	2	2	4.02	4.02	4	4	4.36	4.35	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.77	2.77	0.94	0.94
P72	Unknown	0.27	0.27	0.26	0.26	0.27	0.23	0.27	0.27	0.27	0.27	0.27	0.27	0.99	0.99	0.94	0.94	1.01	1.01	1.1	1.11	1.16	1.16	1.2	1.2	1.19	1.19	1.19	1.18	1.55	1.55	1.59	1.59	1.74	1.74	1.88	1.88	2.02	2.02	2.01	2.01	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.78	2.78	0.94	0.94
Cal 3	Unknown	0.26	0.26	0.26	0.26	0.26	0.26	0.27	0.27	0.26	0.26	0.27	0.27	1	0.99	0.95	0.94	1.02	1.01	1.11	1.11	1.16	1.16	1.2	1.2	1.2	1.2	1.2	1.19	1.55	1.55	1.6	1.59	1.75	1.75	1.89	1.89	2.02	2.02	2.01	2.01	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.78	2.78	0.95	0.94
IS Mix 2	Unknown	N/A	0.17	0.26	0.26	0.32	0.18	0.27	0.04	0.26	0.27	0.27	0.26	0.99	1.03	1.08	1.13	1.1	1.45	1.13	1.05	1.18	1.34	1.44	1.18	1.35	1.58	1.08	0.71	1.12	2.03	1.58	1.58	1.77	1.73	1.88	1.85	2.1	2.06	2.1	1.56	4.01	3.92	4.01	4.01	4.68	4.38	4.07	4.4	4.39	4.38	4.52	4.52	4.5	4.5	4.62	4.6	2.86	2.86	2.77	2.77	0.94	0.94
P77	Unknown	0.27	0.27	0.26	0.26	0.27	0.22	0.27	0.27	0.27	0.27	0.27	0.27	0.99	0.99	0.94	0.94	1.01	1.01	1.11	1.12	1.16	1.16	1.2	1.2	1.2	1.2	1.2	1.18	1.55	1.55	1.59	1.59	1.75	1.75	1.88	1.88	2.02	2.02	2.01	2.01	4.03	4.02	4.01	4.01	4.35	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.78	2.77	0.95	0.95
P52	Unknown	0.27	0.27	0.26	0.26	0.27	0.23	0.27	0.27	0.27	0.43	0.27	0.27	0.99	0.98	0.94	0.94	1	1	1.45	1.12	1.15	1.15	1.2	1.2	1.19	1.19	1.19	1.17	1.54	1.54	1.58	1.59	1.74	1.74	1.88	1.88	2.01	2.01	2.01	2	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.39	4.39	4.5	4.5	4.5	4.5	4.62	4.61	2.86	2.86	2.77	2.78	0.94	0.94
P60	Unknown	0.27	0.26	0.26	0.26	0.27	0.25	0.27	0.27	0.27	0.27	0.27	0.27	0.99	0.98	0.94	0.94	1.01	1.01	1.11	1.12	1.16	1.16	1.2	1.2	1.2	1.2	1.2	1.18	1.55	1.54	1.58	1.59	1.74	1.74	1.88	1.88	2.01	2.01	2.01	2.01	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.49	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.78	2.78	0.94	0.94
P73	Unknown	0.27	0.27	0.26	0.26	0.27	0.23	0.27	0.27	0.27	0.27	0.27	0.27	0.99	0.99	0.94	0.94	1.01	1.01	1.11	1.12	1.16	1.16	1.2	1.2	1.2	1.2	1.2	1.18	1.54	1.55	1.59	1.59	1.74	1.75	1.87	1.88	2.02	2.02	2	2.01	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.78	2.78	0.95	0.94
P53	Unknown	0.27	0.27	0.26	0.26	0.27	0.23	0.27	0.27	0.27	0.27	0.27	0.27	1	0.99	0.94	0.95	1.01	1.01	1.12	1.12	1.16	1.16	1.2	1.2	1.2	1.2	1.2	1.19	1.55	1.55	1.59	1.59	1.74	1.74	1.88	1.88	2.02	2.02	2.01	2.01	4.02	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.77	2.78	0.94	0.94
P68	Unknown	0.27	0.27	0.26	0.26	0.27	0.23	0.27	0.27	0.27	0.27	0.27	0.27	0.99	0.99	0.94	0.94	1.01	1	1.11	1.11	1.15	1.15	1.2	1.2	1.19	1.19	1.19	1.18	1.54	1.54	1.59	1.59	1.73	1.73	1.87	1.87	2.01	2.01	2	2	4.02	4.02	4	4	4.35	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.77	2.77	0.94	0.94
P66	Unknown	0.27	0.27	0.26	0.26	0.27	0.23	0.28	0.27	0.27	0.27	0.27	0.27	0.99	0.99	0.94	0.94	1.01	1.01	1.11	1.11	1.16	1.16	1.2	1.2	1.2	1.2	1.19	1.18	1.55	1.55	1.59	1.59	1.74	1.74	1.88	1.88	2.02	2.01	2.01	2.01	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.77	2.77	0.95	0.94
P82	Unknown	0.27	0.27	0.26	0.27	0.27	0.23	0.27	0.27	0.27	0.27	0.27	0.27	0.98	0.98	0.94	0.94	1.01	1.01	1.1	1.12	1.16	1.16	1.2	1.2	1.2	1.19	1.19	1.18	1.55	1.55	1.59	1.6	1.75	1.74	1.88	1.88	2.02	2.01	2.01	2.01	4.03	4.03	4.01	4.01	4.35	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.78	2.78	0.94	0.94
Cal 3	Unknown	0.26	0.26	0.26	0.26	0.26	0.26	0.27	0.27	0.26	0.27	0.27	0.27	0.99	0.99	0.94	0.94	1.01	1.01	1.11	1.11	1.16	1.15	1.2	1.2	1.19	1.2	1.19	1.19	1.55	1.55	1.59	1.59	1.74	1.74	1.88	1.88	2.01	2.01	2	2	4.02	4.02	4.01	4.01	4.35	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.85	2.85	2.77	2.77	0.94	0.94
IS Mix 2	Unknown	N/A	0.4	0.24	0.26	0.3	0.2	0.27	0.04	0.26	0.42	0.26	0.27	1.02	0.68	1.12	1.13	1.1	1.06	1.07	1.1	1.11	1.48	1.44	0.82	1.18	1.59	1.45	1.15	1.12	2.02	1.58	1.59	1.79	1.7	1.85	1.83	2.34	1.98	2.11	2.32	4.03	4.18	4.01	4.01	4.3	4.73	4.07	4.42	4.38	4.38	4.52	4.53	4.5	4.5	4.62	4.6	2.86	2.86	2.77	2.77	0.94	0.94
P46	Unknown	0.27	0.27	0.26	0.26	0.27	0.23	0.27	0.27	0.27	0.27	0.27	0.27	0.99	1	0.95	0.95	1.01	1.01	1.1	1.1	1.16	1.16	1.2	1.2	1.2	1.2	1.2	1.19	1.55	1.55	1.6	1.59	1.74	1.75	1.88	1.88	2.02	2.02	2.01	2.01	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.87	2.86	2.78	2.78	0.95	0.95
P65	Unknown	0.27	0.27	0.26	0.26	0.27	0.24	0.27	0.27	0.27	0.27	0.27	0.27	1	0.99	0.94	0.94	1.01	1.01	1.09	1.11	1.16	1.16	1.19	1.2	1.19	1.19	1.2	1.18	1.54	1.54	1.59	1.59	1.74	1.74	1.87	1.88	2.01	2.01	1.99	2	4.02	4.02	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.61	2.85	2.85	2.77	2.77	0.94	0.94
P49	Unknown	0.27	0.27	0.26	0.26	0.27	0.22	0.27	0.27	0.27	0.27	0.27	0.27	0.99	0.99	0.94	0.94	1.01	1.01	1.11	1.12	1.16	1.16	1.2	1.2	1.2	1.2	1.2	1.19	1.54	1.55	1.59	1.59	1.74	1.74	1.87	1.87	2.02	2.01	2.01	2.01	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.77	2.77	0.94	0.94
P56	Unknown	0.27	0.27	0.26	0.26	0.27	0.24	0.27	0.27	0.27	0.27	0.27	0.27	0.99	0.99	0.93	0.93	1	1.01	1.09	1.11	1.16	1.15	1.2	1.19	1.19	1.19	1.19	1.17	1.54	1.54	1.58	1.58	1.74	1.74	1.87	1.87	2.01	2.01	1.99	1.99	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.85	2.85	2.77	2.77	0.94	0.93
P86	Unknown	0.27	0.27	0.26	0.26	0.27	0.22	0.27	0.27	0.27	0.27	0.27	0.27	0.99	1	0.94	0.94	1.01	1.01	1.11	1.08	1.16	1.16	1.2	1.2	1.2	1.2	1.2	1.18	1.55	1.54	1.59	1.59	1.74	1.74	1.88	1.88	2.02	2.02	2.01	2.01	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.61	2.86	2.86	2.78	2.78	0.94	0.94
P51	Unknown	0.27	0.27	0.26	0.26	0.27	0.23	0.27	0.27	0.27	0.27	0.27	0.27	0.99	0.99	0.94	0.94	1.01	1.01	1.1	1.12	1.16	1.15	1.2	1.2	1.2	1.2	1.19	1.18	1.55	1.54	1.59	1.59	1.74	1.74	1.88	1.87	2.01	2.02	2.01	2	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.78	2.77	0.94	0.94
P63	Unknown	0.27	0.27	0.26	0.26	0.27	0.22	0.27	0.27	0.27	0.27	0.27	0.27	1	1	0.94	0.94	1.01	1.01	1.11	1.11	1.16	1.16	1.2	1.2	1.2	1.2	1.2	1.18	1.55	1.55	1.59	1.59	1.75	1.74	1.88	1.88	2.02	2.02	2.01	2.01	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.61	2.87	2.87	2.78	2.78	0.94	0.94
P71	Unknown	0.27	0.27	0.26	0.26	0.27	0.22	0.27	0.27	0.27	0.27	0.27	0.27	1	1	0.94	0.94	1.01	1.01	1.11	1.12	1.16	1.16	1.21	1.2	1.2	1.2	1.2	1.19	1.55	1.55	1.6	1.6	1.74	1.74	1.88	1.88	2.02	2.02	2.01	2.01	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.87	2.87	2.78	2.78	0.94	0.94
QC 1	Unknown	0.27	0.27	0.26	0.26	0.27	0.23	0.27	0.27	0.27	0.27	0.27	0.27	0.99	0.99	0.94	0.95	1.01	1.01	1.1	1.15	1.16	1.15	1.2	1.2	1.2	1.19	1.19	1.18	1.54	1.55	1.59	1.59	1.74	1.74	1.88	1.87	2.01	2.01	2.01	2	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.39	4.39	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.77	2.77	0.95	0.94
MeOH 1	Unknown	0.23	0.16	0.26	0.26	0.31	0.2	0.26	0.04	0.2	0.27	0.27	0.26	1.33	1.37	1.1	1.43	1.1	1.09	1.12	0.98	0.85	1.01	0.78	1.08	1.19	1.27	0.96	1.46	1.3	1.53	1.59	1.59	1.7	1.9	1.89	N/A	2.49	2.13	2.1	1.56	4.02	3.98	4.02	4.26	4.64	4.11	4.36	4.64	4.75	4.36	4.58	4.51	4.73	4.55	4.65	4.38	2.88	2.87	2.77	2.78	0.88	1.14
blank = water	Unknown	0.25	0.18	0.25	0.26	0.24	0.24	0.27	0.04	0.37	0.29	0.24	0.24	1.29	0.78	1.09	0.99	0.64	1.22	1.14	1.15	1.3	0.67	1.06	0.88	1.21	1.22	1.56	1.51	N/A	1.26	2.05	1.28	1.81	1.89	1.87	1.86	2.04	1.95	1.93	2.25	3.86	4.07	3.89	4.34	4.25	4.29	4.02	4.18	4.77	4.38	4.65	4.43	4.78	4.51	4.89	5.05	2.55	3.32	2.79	2.79	1.4	0.95
IS Mix 1	Unknown	N/A	0.16	0.26	0.26	0.31	0.18	0.27	0.04	0.26	0.27	0.27	0.26	1.35	0.98	0.97	1.12	1.08	1.08	1.08	0.98	1.15	1.3	1.2	1.18	1.19	1.59	1.09	0.96	1.15	1.49	1.59	1.59	1.81	N/A	1.8	1.96	2.51	2.01	2.11	1.55	4.04	4.08	4.01	4.01	4.42	4.14	4.08	4.22	4.38	4.38	4.59	4.56	4.5	4.5	4.61	4.58	2.86	2.86	2.78	2.78	0.94	0.94
Cal 7	Unknown	0.26	0.65	0.25	0.26	0.26	0.19	0.26	0.04	0.26	0.43	0.27	0.27	1.06	0.96	0.98	1.1	1.11	1.08	1.1	1.08	1.15	0.67	1.2	0.86	1.21	1.19	N/A	1.18	1.56	1.51	1.6	1.6	1.73	1.74	1.89	1.86	2.02	2	2.13	2	4.02	3.91	4.01	4.01	4.6	4.38	4.4	4.4	4.38	4.38	4.58	4.57	4.5	4.5	4.93	4.58	2.86	2.86	2.78	2.78	0.94	0.94
Cal 6	Unknown	0.27	0.26	0.25	0.26	0.27	0.19	0.27	0.04	0.26	0.43	0.27	0.27	1	0.99	0.94	1.12	1.01	1.06	1.11	1.11	1.17	1.16	1.21	1.2	1.2	1.2	1.2	1.19	1.56	1.54	1.6	1.59	1.74	1.74	1.88	1.88	2.01	2.01	2	2.01	4.03	4.02	4.01	4	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.77	2.78	0.94	0.94
Cal 5	Unknown	0.26	0.26	0.26	0.26	0.26	0.26	0.27	0.04	0.26	0.26	0.27	0.27	1	0.99	0.94	0.94	1.04	1.04	1.11	1.12	1.16	1.16	1.21	1.21	1.2	1.2	1.2	1.19	1.54	1.55	1.6	1.59	1.74	1.74	1.88	1.88	2.02	2.01	2.01	2.01	4.03	4.02	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.78	2.78	0.94	0.95
Cal 4	Unknown	0.26	0.26	0.26	0.26	0.26	0.26	0.27	0.27	0.26	0.26	0.27	0.27	0.99	0.99	0.94	0.94	1	1.01	1.1	1.11	1.16	1.15	1.2	1.2	1.19	1.19	1.19	1.19	1.55	1.55	1.59	1.59	1.74	1.74	1.88	1.88	2.01	2.01	2.01	2	4.02	4.02	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.77	2.77	0.94	0.93
Cal 3	Unknown	0.26	0.26	0.26	0.26	0.26	0.26	0.27	0.27	0.26	0.26	0.27	0.27	0.99	0.99	0.94	0.94	1.01	1.01	1.11	1.11	1.16	1.15	1.2	1.2	1.2	1.2	1.19	1.19	1.54	1.55	1.59	1.59	1.74	1.74	1.88	1.88	2.01	2.01	2	2	4.02	4.02	4	4	4.35	4.35	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.85	2.85	2.77	2.77	0.94	0.94
