Sample.Name	Sample.Type	Classification	Serine_104_74.1_DP_.50_CE_.15_quan	Serine_106_60_DP_50_CE_15_qual	Asparagine_131_114_DP_.50_CE_.15_quan	Asparagine_131_42_DP_.50_CE_.35_qual	Inol_225.1_44.9_DP_.30_CE_.45_quan	Lysine_147_130_DP_50_CE_15_qual	Lysine_147_84_DP_50_CE_30_quan	Proline_116.1_43_DP_50_CE_45_qual	Proline_116.1_70_DP_50_CE_25_quan	AR.PyroGlu_130_56_DP_60_CE_40_qual	AR.PyroGlu_130_84_DP_60_CE_20_quan	Ornitine_133.1_116_DP_40_CE_15_qual	Ornitine_133.1_70_DP_40_CE_30_quan	Trigonelline_138_92_DP_60_CE_30_quan	Trigonelline_138_94_DP_60_CE_30_qual	Methionine_150_104.1_DP_60_CE_15_quan	Methionine_150_133_DP_60_CE_15_qual	Guanine_152_110_DP_60_CE_30_qual	Guanine_152_135_DP_60_CE_30_quan	Xanthine_153_110_DP_60_CE_30_quan	Xanthine_153_136_DP_60_CE_25_qual	Histidine_156.1_110_DP_60_CE_20_quan	Histidine_156.1_83_DP_60_CE_35_qual	Carnitine_162.1_103_DP_60_CE_25_quan	Carnitine_162.1_85_DP_60_CE_30_qual	Phenylalanine_166.1_103_DP_50_CE_40_qual	Phenylalanine_166.1_120_DP_50_CE_22_quan	MethionineSulfoxide_166.1_56_DP_50_CE_40_qual	MethionineSulfoxide_166.1_74_DP_50_CE_20_quan	X1.Methyl.Histidine_170.1_124_DP_55_CE_20_quan	X1.Methyl.Histidine_170.1_81_DP_55_CE_55_qual	X3.Methyl.Histidine_170.1_95_DP_60_CE_45_qual	X3.Methyl.Histidine_170.1_96_DP_60_CE_28_quan	Acetyl.Ornitine_175.1_115_DP_50_CE_20_quan	Homo.Arginine_189.1_144_DP_60_CE_23_quan	Homo.Arginine_189.1_84_DP_60_CE_35_qual	ADMA_203.2_158.1_DP_60_CE_25_qual	AR.ADMA_203.2_70_DP_60_CE_40_quan	Spermidine_203.2_85_DP_60_CE_30_qual	Spermidine_203.2_98_DP_60_CE_35_quan	AC.C2_204.1_145_DP_50_CE_20_qual	AC.C2_204.1_85.1_DP_50_CE_27_quan	Tryptophan_205.1_146.1_DP_50_CE_25_qual	Tryptophan_205.1_188.1_DP_50_CE_15_quan	Kynurenine_209.1_146_DP_60_CE_30_qual	Kynurenine_209.1_192_DP_60_CE_15_quan	AC.C3_218.1_159_DP_50_CE_20_qual	AC.C3_218.1_85.1_DP_50_CE_29_quan	AC.C4_232.1_173.1_DP_50_CE_20_qual	AC.C4_232.2_85.1_DP_50_CE_29_quan	AC.C5.1_244.2_185.1_DP_50_CE_20_qual	AC.C5.1_244.2_85.1_DP_50_CE_31_quan	AC.C5_246.2_187.1_DP_50_CE_20_qual	AC.C5_246.2_85.1_DP_50_CE_29_quan	AC.C6_260.2_201.2_DP_50_CE_20_qual	AC.C6_260.2_85.1_DP_50_CE_33_quan	AC.C5.DC._276.2_217.1_DP_61_CE_20_qual	AC.C5.DC._276.2_85.1_DP_61_CE_35_quan	Thyroxine_777.7_604.6_DP_100_CE_55_qual	Thyroxine_777.7_731.7_DP_100_CE_35_quan	Isoleucine.Leucine_132.1_69_DP_50_CE_25_quan	Isoleucine.Leucine_86_DP_50_CE_15_qual
P 47 1:5	Sample	Block 2	1952327	2733206	724111	366616	320117	5100790	5528546	980848	60466715	40123	481703	2516245	3144513	361768	356121	1172759	1066370	237888	303314	53777	137882	26958277	6313551	44919095	22577506	1754243	4814954	69195	213007	8025753	1700747	1420704	2635255	50617	1265204	1053552	2759853	7729675	285340	23876	5498227	28047174	4517741	9555210	171540	462795	1698209	6140757	1338175	1686260	49015	86797	434998	1132794	99711	184163	20696	65063	8390	74031	2383542	29625300
P 24 1:5	Sample	Block 2	2596930	3559335	843629	433096	682770	5813352	6177756	937543	63758404	102547	631894	1409550	1784950	406616	285734	1747017	1526279	3725932	9684880	134507	115495	17690112	4128613	28396799	14452301	2850431	8048744	97350	301141	13826648	2873914	2165600	4145424	58631	534868	373534	2858162	8906871	294019	38109	5726732	28869934	5129529	10638573	237536	680793	4681484	17946701	1967556	3117852	104869	82191	585230	1524242	94081	135242	22241	94734	8362	85382	3578271	42121252
P 38 1:5	Sample	Block 2	2003935	3031678	809752	375312	260520	5373000	5613612	915985	61832271	41121	443716	2442373	3014033	362408	293304	1247696	1064861	562826	272046	76849	123805	16600578	3863308	40357128	20380751	2003466	6033208	83399	229766	6866475	1503305	1607577	2869927	61256	821755	603329	3165090	8974207	190737	33169	4583563	23623815	5046477	10570928	336577	846089	1361299	4394734	1373638	1523023	66574	68002	471354	1008066	88337	159548	13648	31131	10005	60810	2935355	34820898
P 20 1:5	Sample	Block 2	1693708	2359087	619725	318301	554805	4819599	5104286	731962	50709859	29000	463456	1516283	1909381	591283	575661	1401881	1169521	5868535	15160439	115672	158055	21078249	4904689	31944442	16201542	2143513	6315156	75726	232810	6387672	1371007	1453525	2570886	60112	661832	527362	2779675	7933631	208012	32329	6258721	32282273	4442762	8830055	142959	323778	1474114	5161477	1605268	1919303	104082	73970	428649	1193395	69174	146710	16712	65638	9847	73768	3174245	36031278
P 44 1:5	Sample	Block 2	1773666	2679807	811263	414455	299619	6570658	7027701	1064515	68636798	48711	542374	2984896	3675112	438350	409205	1518315	1249494	358419	233001	130242	153225	25791585	5981884	60383418	30588806	2240841	6749691	68319	196453	7916730	1707274	1634084	2971704	44798	1913234	1517426	3382494	9357875	189597	37830	7280256	36786848	6543275	13619655	292033	849017	1819009	6557705	1431220	1945315	97907	129562	588828	1454688	74117	171020	27330	82131	12079	86748	3571149	43054773
P 59 1:5	Sample	Block 2	2123365	3027878	610921	308105	480319	4217783	4544522	962516	60984481	46591	440322	1681625	2085761	511156	503219	1183218	1047199	1440250	3279688	151495	137324	23397374	5397749	53020097	26612603	1757673	4829976	66842	173747	5289492	1127326	1069200	1983398	39852	971407	731811	2369207	6590781	257833	34097	5394521	27077062	4773994	9726342	390004	936284	1980065	7212546	1704987	2154797	100001	94513	577179	1650643	79676	154008	22152	70567	10927	85323	1914763	23164888
QC 1:5	QC	Block 3	2428501	3484325	855678	435057	611833	6094523	6545638	1062195	67867797	44099	535311	2886660	3507954	587842	576789	1552317	1212602	1983463	3118022	115073	147426	28658027	6648693	48965942	24834634	2447635	6772804	78163	267507	8986147	1947921	1926948	3514261	77958	1271733	913213	3351738	9730895	125823	41905	6461648	33627849	5725579	11775327	278867	785340	2111882	7502960	1353406	2183101	75263	110238	533529	1275277	102546	170303	24269	72807	12096	93675	3134384	38666021
HILIC Cal 4	Cal	Block 3	433481	665697	254097	128712	355432	1255842	1342508	71155	4267751	74428	169625	862765	1079948	1792714	1701986	512170	448562	2191304	4359863	980451	944470	4889744	1141589	6243925	3088117	860735	2252619	407603	1320885	2079832	412838	236077	473954	863749	283543	230077	1178719	3031897	185775	13340	959352	4471430	634401	1348153	317072	848872	839464	3086522	1967114	3214921	1467690	2264209	944016	2892689	716470	1708083	26846	105795	14521	98784	394708	4899283
Blank = water	Blank	Block 3	N/A	165475	N/A	7204	N/A	135868	162471	54985	770823	56031	N/A	77320	131614	385488	346018	17148	47084	1491614	1900955	N/A	54444	964897	215592	658379	306942	75473	162310	14025	41104	318723	65343	48072	85204	15772	N/A	20196	87799	237823	151296	N/A	71599	185583	22340	N/A	4140	N/A	36052	27952	956635	38475	58454	N/A	62387	79945	10522	N/A	10443	N/A	N/A	N/A	N/A	316547
P 30 1:5	Sample	Block 3	2557288	3617223	889828	450115	489265	7146907	7866916	1083963	67504102	40906	491386	3018980	3723496	479070	466375	1725417	1616423	2873042	6657961	130270	162908	30930592	7116609	49798455	25125315	2372110	6354445	101211	299484	8448555	1777234	1296855	2475957	50908	1210634	1027195	3257176	8993179	296458	34140	6126186	31758432	6035847	12132723	160557	411423	2504613	9304942	1662301	2546376	79264	102837	526592	1538853	67863	163590	30392	74221	13167	80426	3315401	41199639
