Sample.Name	Sample.Type	Classification	Serine_104_74.1_DP_.50_CE_.15_quan	Serine_106_60_DP_50_CE_15_qual	Asparagine_131_114_DP_.50_CE_.15_quan	Asparagine_131_42_DP_.50_CE_.35_qual	Inol_225.1_44.9_DP_.30_CE_.45_quan	Lysine_147_130_DP_50_CE_15_qual	Lysine_147_84_DP_50_CE_30_quan	Proline_116.1_43_DP_50_CE_45_qual	Proline_116.1_70_DP_50_CE_25_quan	AR.PyroGlu_130_56_DP_60_CE_40_qual	AR.PyroGlu_130_84_DP_60_CE_20_quan	Ornitine_133.1_116_DP_40_CE_15_qual	Ornitine_133.1_70_DP_40_CE_30_quan	Trigonelline_138_92_DP_60_CE_30_quan	Trigonelline_138_94_DP_60_CE_30_qual	Methionine_150_104.1_DP_60_CE_15_quan	Methionine_150_133_DP_60_CE_15_qual	Guanine_152_110_DP_60_CE_30_qual	Guanine_152_135_DP_60_CE_30_quan	Xanthine_153_110_DP_60_CE_30_quan	Xanthine_153_136_DP_60_CE_25_qual	Histidine_156.1_110_DP_60_CE_20_quan	Histidine_156.1_83_DP_60_CE_35_qual	Carnitine_162.1_103_DP_60_CE_25_quan	Carnitine_162.1_85_DP_60_CE_30_qual	Phenylalanine_166.1_103_DP_50_CE_40_qual	Phenylalanine_166.1_120_DP_50_CE_22_quan	MethionineSulfoxide_166.1_56_DP_50_CE_40_qual	MethionineSulfoxide_166.1_74_DP_50_CE_20_quan	X1.Methyl.Histidine_170.1_124_DP_55_CE_20_quan	X1.Methyl.Histidine_170.1_81_DP_55_CE_55_qual	X3.Methyl.Histidine_170.1_95_DP_60_CE_45_qual	X3.Methyl.Histidine_170.1_96_DP_60_CE_28_quan	Acetyl.Ornitine_175.1_115_DP_50_CE_20_quan	Homo.Arginine_189.1_144_DP_60_CE_23_quan	Homo.Arginine_189.1_84_DP_60_CE_35_qual	ADMA_203.2_158.1_DP_60_CE_25_qual	AR.ADMA_203.2_70_DP_60_CE_40_quan	Spermidine_203.2_85_DP_60_CE_30_qual	Spermidine_203.2_98_DP_60_CE_35_quan	AC.C2_204.1_145_DP_50_CE_20_qual	AC.C2_204.1_85.1_DP_50_CE_27_quan	Tryptophan_205.1_146.1_DP_50_CE_25_qual	Tryptophan_205.1_188.1_DP_50_CE_15_quan	Kynurenine_209.1_146_DP_60_CE_30_qual	Kynurenine_209.1_192_DP_60_CE_15_quan	AC.C3_218.1_159_DP_50_CE_20_qual	AC.C3_218.1_85.1_DP_50_CE_29_quan	AC.C4_232.1_173.1_DP_50_CE_20_qual	AC.C4_232.2_85.1_DP_50_CE_29_quan	AC.C5.1_244.2_185.1_DP_50_CE_20_qual	AC.C5.1_244.2_85.1_DP_50_CE_31_quan	AC.C5_246.2_187.1_DP_50_CE_20_qual	AC.C5_246.2_85.1_DP_50_CE_29_quan	AC.C6_260.2_201.2_DP_50_CE_20_qual	AC.C6_260.2_85.1_DP_50_CE_33_quan	AC.C5.DC._276.2_217.1_DP_61_CE_20_qual	AC.C5.DC._276.2_85.1_DP_61_CE_35_quan	Thyroxine_777.7_604.6_DP_100_CE_55_qual	Thyroxine_777.7_731.7_DP_100_CE_35_quan	Isoleucine.Leucine_132.1_69_DP_50_CE_25_quan	Isoleucine.Leucine_86_DP_50_CE_15_qual
P 16 1:5	Sample	Block 8	1289606	2011207	422821	217855	336191	4743586	5180849	749716	49220950	30982	424610	1553825	2051565	366089	354943	803209	685571	2492195	5814006	138748	135432	19677369	4585574	33441141	17020802	1873002	5536575	61953	191271	6886267	1509762	1815682	3243765	63058	1395196	1113837	2298373	6822989	150322	25337	7131716	36603163	4152395	8169446	99601	215658	1788408	6180942	1642875	2400982	78993	75223	440208	1237439	29430	157381	21033	67266	9933	92166	2564379	32645406
P 56 1:5	Sample	Block 8	1805611	2811038	619677	310142	434286	4934490	5372586	844443	54038220	32991	334758	2745482	3338090	802303	769261	1364296	1092831	673539	1392975	115253	145113	27755977	6500111	55028154	27737053	1786752	4987447	62952	188295	5788703	1267146	1306859	2361097	39363	1101836	782426	2826980	7718472	148263	27363	5734617	29020873	4656982	9784757	141323	244539	1445334	5001244	1039126	1322982	56163	69554	426706	1027389	34305	98259	26186	66552	8187	79889	2357916	30065582
P 48 1:5	Sample	Block 8	2132005	3220688	765173	386867	398629	7104022	7550524	941598	64280720	42888	328097	3468017	4332283	407795	419468	1635872	1465356	201079	147074	86993	106157	25578954	6011822	38089302	19339786	2166760	6387863	73949	220044	5727812	1278020	1688650	2915576	74522	1508608	1105580	3101092	8439548	131387	30543	4635325	24104733	5416073	10793299	239084	683836	1294730	4172468	933510	1087741	35562	63027	290126	750391	91659	177336	9817	32994	9208	95221	2458269	31623093
P 10 1:5	Sample	Block 8	1448318	2332159	424517	223489	426023	3753634	4068023	784232	48427184	31695	476862	1610623	1963661	521966	447953	789729	683409	1349957	3210097	173874	381195	18730804	4378713	41292101	21085132	1396956	3772673	56729	161077	9187315	1999721	1987022	3623204	62043	737356	523626	2521283	7328939	184013	28983	6659446	34508871	4171778	8370450	170918	481955	1835509	6384056	1239513	1654097	108645	113799	640620	1565281	55467	102170	28896	56853	19853	111963	2076770	23594156
P 17 1:5	Sample	Block 8	1640064	2323473	634019	317583	338546	4686969	5048532	995093	64909459	32322	470101	1694260	2155289	392954	380186	1291464	1070591	1321473	3187673	124642	135165	15039872	3494317	31941263	15975921	1743415	5170557	55271	179478	6802410	1508341	1783412	3120831	36650	652199	464545	2680521	8132136	142330	36568	5073827	26015732	5288560	10889552	195134	535092	1593035	5660078	1208090	1333219	66774	85963	460380	1262216	54175	92195	26270	75496	7902	74144	2336162	27162944
P 1 1:5	Sample	Block 8	1044248	1560006	287949	148863	479932	2535867	2704202	485904	31377789	35514	360073	1798463	2210185	317740	313192	638450	556440	1625528	4002591	175954	339556	15844719	3601725	29071405	14661833	1558773	4423444	51493	150316	7209819	1566522	1602584	2796240	40206	420067	297585	2364833	6642470	119701	27185	5832081	30033706	3052616	6267757	148349	391911	1552414	5692797	1469423	2137679	85104	81732	613761	1356007	62101	185181	15748	57416	8774	96622	2743857	29055993
P 9 1:5	Sample	Block 8	1494449	2323090	506124	259809	476683	4062744	4362252	790608	49632457	46890	457608	1520256	1944264	406589	373677	1229585	1011290	2200049	4125182	76787	93211	12949432	2988474	25334695	12645343	1929939	5199326	48251	158235	7681019	1671153	1759941	3174413	51574	601187	430838	2373418	7427781	152256	29202	7909359	40532218	3435545	7173657	83191	272750	1282604	4592786	1111253	1144576	33605	78672	224687	616906	41222	112409	5276	38651	12484	80793	2615138	31123950
QC 1:5	QC	Block 9	2069825	3263249	692828	356946	468521	5551874	5902770	905309	58432160	42242	427587	2480544	3199569	578332	483696	1473490	1236242	1163161	2492969	126679	355264	25607728	5908923	43580779	22034549	1985784	5645289	80576	219040	7868076	1691814	1736160	3043705	77351	1127304	852553	3048878	8585989	180341	25669	6203084	31085831	5531918	11057438	225486	491667	1938260	6710143	1280915	1803207	79047	62068	508302	1200706	61116	138599	25743	69655	21652	120448	2687691	32693222
HILIC Cal 4	Cal	Block 9	344478	498962	183740	93340	247757	971936	1118840	85126	3487638	35137	184119	759638	920523	1605209	1478561	386689	355935	1668358	3281171	925322	1036050	4722333	1077255	5071981	2544055	741016	1926142	349051	1125756	1730703	357876	214933	422910	644929	240403	175641	1487594	3642422	155923	19101	767724	3541884	627925	1232145	214509	567859	675004	2593080	1870997	2679461	1214932	1877952	865668	2461435	716749	1649853	25354	60821	22074	136300	365483	4074657
Blank = water	Blank	Block 9	N/A	203597	N/A	N/A	N/A	159279	N/A	48482	626227	33929	N/A	83530	117230	306225	332600	N/A	41095	828302	940467	N/A	43506	921336	208971	588321	284289	46532	N/A	19015	31119	315419	66933	58026	96233	N/A	N/A	14612	72772	238758	166089	N/A	55777	161066	26852	N/A	7678	N/A	28411	27605	765941	19046	40753	N/A	24730	75054	12207	N/A	N/A	N/A	N/A	N/A	N/A	230005
P 6 1:5	Sample	Block 9	1586214	2491279	531258	276039	507259	4369258	4679203	971583	64904199	46500	391932	1701069	2113001	431826	382467	1081460	944014	351688	223056	57444	82441	18994552	4423457	41774507	21068109	2194095	5906461	61953	203988	8686516	1901474	2219212	3962664	39857	683641	535911	2808887	8622880	142234	30820	9994249	50910892	5055652	10672703	99206	284682	1774730	6259782	1383482	2019797	53618	86393	566740	1427310	50476	147766	24161	91665	10599	84942	2567956	29682188
P 27 1:5	Sample	Block 9	1223032	1720114	458628	237743	302715	4064897	4354064	583290	36591159	27244	479166	1382499	1787905	996772	960318	1146954	915593	1816086	4746054	174856	360197	15293557	3570756	32444852	16269752	1929121	5419384	50127	152217	7607124	1615177	1561867	2857086	42700	759593	534265	2398383	6989807	141991	21337	4710324	24166765	5072041	10523177	138003	365049	1515492	5294048	1226586	1304088	66129	107476	483034	1152442	48185	67985	31185	62552	14557	93365	2466465	29928731
P 33 1:5	Sample	Block 9	1330595	2046760	492489	253657	308001	3762827	4046899	635668	41227468	43670	288258	1410051	1805724	542375	549938	1249854	1054288	1322054	3032811	257047	633728	23366344	5384798	27373738	13677764	2094467	6095153	64744	211142	4397833	993410	1387518	2373130	37347	1209985	877370	2061554	5695041	147418	24808	3086958	16105174	4342651	8886258	119614	284273	5383275	20198212	1434642	1921825	62871	67089	325919	870285	56098	119921	22013	53647	10156	100802	2777350	34610233
P 35 1:5	Sample	Block 9	1686364	2586608	468000	239262	208565	3042144	3256661	734908	47978847	32315	419474	1764866	2234871	376255	376839	757282	609233	510452	147088	41762	46885	21610232	5047551	32612926	16490090	1672845	4574884	61170	171028	7139333	1538553	1531895	2676131	69544	726139	548705	2580496	7412608	109831	22294	3959089	20213633	3981344	8518673	267467	573306	1076699	3783004	1047975	1246791	82231	83308	305275	703327	62287	143415	32354	68414	10336	73393	1932949	22269590
P 40 1:5	Sample	Block 9	2000878	2973774	632030	321927	193333	3884261	4262686	920858	58980415	45949	533044	1722602	2113804	405670	434867	1163691	1029240	216761	175380	78563	76295	13615512	3190200	35358317	17884659	2322508	6644852	57554	185981	5944387	1281906	1316528	2382609	44862	604597	411353	2555390	7492385	206310	25563	6261405	31623064	5646401	12304412	175143	378169	1939265	7120608	1307137	1729357	55107	82270	521819	1274601	83435	152070	8919	44158	6492	79493	2623219	31427311
P 46 1:5	Sample	Block 9	2638889	3959920	1023504	533535	565397	8297471	9065198	1177575	73807309	59923	686819	4575402	5687434	482239	456542	1583467	1425073	1009743	281034	116101	138277	46757717	10934346	65920991	32954219	1716576	4519803	89934	260074	7453841	1612255	1387763	2609949	59239	1723836	1276502	3560965	9577382	214752	37606	6520321	34512038	7241916	14878432	220237	529674	2314929	8516760	1342881	2090138	66293	69006	441681	1228999	60158	133911	12436	59585	14880	140724	2629869	34095705
P 66 1:5	Sample	Block 9	1286797	2003705	493330	252408	265160	3741952	4036855	622603	40447711	31250	464823	2085755	2667827	594351	522242	1035290	876821	206014	198899	200615	462334	24656160	5719583	29161557	14784868	1827415	4737604	57928	174683	5218878	1125712	1199564	2072385	56519	756233	549944	2042771	6071466	200987	29122	4020944	19908092	4214375	9021682	373761	857910	1346890	4840804	1336833	1423708	53879	46237	517133	1225058	73061	113916	21119	67366	14098	80828	1611833	20397178
P 67 1:5	Sample	Block 9	1916598	3096744	550617	283154	348904	4928139	5104265	984984	62783306	39009	395708	2578162	3120058	830796	826615	1129427	960678	1495997	3823613	141452	325131	34472143	8087458	55923132	28227603	2158203	6066072	50701	148671	5751285	1273676	1362346	2463885	43691	1562616	1210537	2494822	6904887	108488	20803	4857850	24822468	5447356	11365011	145900	342198	1617184	5890267	1202763	1800773	65176	70203	581836	1307227	55950	137272	18610	70710	13185	114536	2243447	30673737
QC 1:5	QC	Block 9	2090158	3112888	683598	354690	460706	5519642	6031581	931841	59377675	47833	458244	2521657	3258042	667296	611071	1288779	1110114	1078388	2516624	125388	351906	26762301	6287387	43757837	22160532	2161965	5886910	79029	226446	7757299	1659142	1661183	2975571	67073	1151529	846187	2993000	8656682	140817	32242	6212933	31737835	5480473	11626808	188328	479914	1789523	6540808	1206486	1765418	42871	68042	555516	1242951	81833	146592	29689	58618	19680	129604	2591623	33074892
Blank = water	Blank	Block 9	N/A	238545	N/A	8563	N/A	223995	N/A	58815	660957	9695	N/A	139996	188696	325929	264237	N/A	54431	1208314	229451	N/A	46144	1704908	419371	709734	335852	46156	N/A	11757	17991	531450	116807	91937	166875	N/A	N/A	25091	95814	273854	151727	N/A	56703	172260	34289	65356	6321	N/A	38426	27905	997138	N/A	30392	N/A	60063	101013	15788	N/A	5991	N/A	N/A	N/A	55240	364026
Solvent	Blank	Block 9	130985	213913	N/A	3408	N/A	117116	120956	41206	581566	49053	N/A	74302	76476	317573	306526	N/A	17515	767790	911995	N/A	7071	900383	211087	527498	267012	31712	N/A	N/A	15625	233771	52758	40015	69950	N/A	N/A	6708	59179	115491	193999	N/A	66810	135442	62877	N/A	9848	N/A	37188	32438	906101	N/A	50456	N/A	26541	94944	23217	N/A	18555	N/A	N/A	N/A	25727	256950
HILIC Cal 8	Cal	Cal 2	134164	210752	9277	N/A	N/A	97715	123510	34104	654554	26183	160475	62147	93903	330450	306360	N/A	19497	850729	913249	9852	31038	697099	174884	606101	271452	47930	68068	15973	35033	181783	36398	36397	54492	14042	N/A	8540	52519	144284	179487	N/A	77215	182311	29523	N/A	N/A	N/A	21094	48393	740449	57100	66856	16228	45159	80876	7219	14421	13269	7632	N/A	N/A	15845	288312
HILIC Cal 7	Cal	Cal 2	135151	210004	9433	N/A	7053	108272	98056	52664	708818	29290	132950	47622	92355	368724	319246	N/A	34109	775028	838401	25440	134789	665457	153714	663355	315922	59369	128946	23767	48541	167392	33499	23375	43966	21455	N/A	11144	80130	180945	164977	N/A	80749	244257	30038	60157	11665	28472	52093	93782	945294	124356	81691	64995	53950	117800	23119	23999	8536	8848	N/A	6675	25122	328612
HILIC Cal 6	Cal	Cal 2	143955	221309	21984	12486	21611	131588	142741	75514	849780	16060	129783	79758	131338	438467	364302	30591	16680	872299	1056993	73227	61159	855715	190991	991743	492846	72584	246135	49445	123286	205816	47283	35377	59473	69254	18514	19281	198808	461316	153442	N/A	107149	434187	49204	117384	12028	50144	76155	249336	961563	244080	171784	176783	100956	282006	65249	126904	5677	10208	N/A	11001	62237	492355
HILIC Cal 5	Cal	Cal 2	195849	314556	53670	29029	80346	315869	328786	74099	1372134	56491	175000	268395	290854	678010	613148	108626	96558	1435583	2147122	222433	204948	1617188	373012	1931000	954784	238732	558359	111918	352395	440516	99020	63276	113712	216096	52156	50789	569089	1300648	109993	9674	249099	1143400	153084	367007	71090	157990	165435	703651	1048208	780371	332455	521984	288540	758884	143530	365388	14548	19856	5823	28799	106022	1177084
HILIC Cal 4	Cal	Cal 2	317256	485771	155959	79146	229359	781710	864351	75258	3083410	43721	160782	614400	791866	1452725	1374738	396451	240617	1743422	3292144	884828	811388	3873251	866507	4790643	2407822	734665	1920182	326296	1085174	1222742	260805	135359	283629	593904	207879	178172	1469361	3572744	151745	27987	696146	3387658	609705	1205227	281739	686098	641217	2436288	1646435	2448177	1217331	1806088	833038	2393794	692519	1530122	31441	69085	26329	153523	342662	3910331
HILIC Cal 3	Cal	Cal 2	893709	1255352	612120	311828	885526	3006314	3350607	217601	10599964	37181	336600	2362965	3023136	4365514	4121798	1579161	1381606	3925205	9381074	3208274	3128476	12263767	2853539	17050810	8538034	2485593	6828557	1317846	4072952	4513878	912297	415469	889118	2377376	857083	712146	3290330	8610726	138719	70052	2521284	13026357	2094856	4274256	861893	2220275	2394469	9079897	3852677	9845420	4314343	6569805	2835637	9343695	2410932	6018313	91329	275762	63968	491771	1112215	13978525
HILIC Cal 2	Cal	Cal 2	2166308	3288691	1650558	854180	2463567	8919742	9787801	450126	29521532	91495	607374	7216547	8937804	11526373	10720120	4331529	3508969	9258753	23784575	9307087	9060004	30707426	7214626	43312916	21761099	7257255	20742342	3566758	11738939	12752188	2570343	1074230	2340052	7098830	2646266	2204580	7586609	19278457	118501	145121	6723853	35017202	6157523	12568816	2482766	6432510	6627046	25067545	8824068	25761791	11494464	18637864	7880079	24428137	7090620	16576893	265125	780771	232555	1674061	3235579	39499341
HILIC Cal 1	Cal	Cal 2	6042217	8967791	5004401	2599040	7360728	33355635	35982805	1521986	90117745	154035	1565819	27109662	34162812	31676365	29811313	10762642	8897375	24931852	63313523	28368659	28399823	86632949	20184778	107068591	53908867	23914966	66730471	13870347	44258112	41290764	8336506	3261946	7215411	21409285	10809472	8840452	26241025	63355837	157208	274227	20020321	103043597	21440862	44037040	8560724	21028787	20549248	76801984	22918580	75010767	31829833	52128499	21198318	64076239	17986219	45853627	747179	2472603	743722	5767087	10762681	127700770
Blank = water	Blank	Post 2	N/A	258072	N/A	34621	N/A	702939	N/A	39220	719234	60868	N/A	508984	574172	328472	306489	68470	27794	830767	872471	N/A	41926	4232371	1010015	951047	473587	133833	353055	131875	449539	2216562	446972	144071	344570	114920	101906	74685	735883	1752725	145682	N/A	65691	213025	106287	N/A	55593	92166	33972	73445	727376	N/A	51956	34132	41136	102870	17869	N/A	6800	N/A	6356	30440	51942	885520
QC 1:5	QC	Post 2	1945591	3140098	626372	332832	424093	5331823	5852216	947987	60334928	40177	474671	2511129	3117685	576180	568617	1292490	1117268	951760	2497387	113223	127122	25727380	6007278	42605209	21456623	2301580	7008444	121480	335761	8105498	1711233	1596691	2966694	86809	1117865	873786	3116084	8984416	106485	33249	6217222	31531892	5684987	11691699	195175	500237	1821807	6211605	1172932	1700042	57278	69676	447025	1114845	30289	170024	31803	68258	14492	115455	2602902	30628320
